,addrcode,rainfall
0,801904,29.04
1,800905,25.76
2,801701,21.06
3,800611,34.13
4,801204,32.24
5,801101,17.98
6,801302,28.93
7,800305,28.47
8,801105,19.97
9,801212,32.72
10,800302,27.02
11,801205,33.3
12,800911,28.22
13,801107,19.34
14,802302,32.67
15,800912,24.1
16,801218,33.9
17,802304,30.75
18,800407,18.59
19,802203,24.0
20,800118,28.44
21,800112,26.44
22,800106,29.77
23,801801,15.77
24,801106,15.2
25,802202,24.22
26,802004,30.28
27,802201,26.01
28,800301,25.12
29,810601,7.63
30,800120,23.66
31,810603,6.41
32,800205,22.15
33,800410,21.41
34,800406,15.36
35,800505,18.23
36,800504,20.41
37,800202,20.97
38,802101,19.92
39,800803,20.09
40,800503,16.23
41,800801,22.59
42,802104,20.76
43,801408,17.56
44,802102,16.7
45,801407,20.85
46,801405,21.81
47,800804,20.49
48,800409,13.47
49,800704,35.88
50,801702,19.45
51,801703,22.65
52,801603,35.4
53,800910,27.79
54,801905,28.89
55,800908,25.65
56,801501,14.93
57,801502,16.63
58,801406,20.41
59,801402,27.55
60,800705,27.65
61,801609,37.4
62,800708,32.01
63,800711,39.55
64,810405,15.89
65,810803,15.62
66,810403,16.14
67,810305,14.64
68,810303,14.96
69,810404,16.58
70,810115,11.88
71,810406,23.53
72,810702,19.29
73,810703,18.42
74,810117,11.13
75,810704,18.97
76,810402,16.5
77,810401,16.15
78,810118,14.36
79,810807,16.38
80,810204,18.18
81,810201,16.6
82,810111,11.34
83,810506,10.21
84,810501,9.36
85,810202,16.97
86,810502,12.06
87,810505,10.45
88,810504,11.05
89,810105,11.57
90,810407,18.6
91,810103,13.95
92,810206,19.32
93,810808,16.0
94,810503,7.96
95,810205,15.54
96,802303,32.68
97,801608,34.48
98,800606,32.97
99,800903,27.69
100,801305,30.89
101,800706,31.77
