,addrcode,land_area,image_area,image/area,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Age < 7_s,Age 7 - 9_s,Age 10 - 14_s,Age 15 - 24_s,Age 25 - 34_s,Age 35 - 44_s,Age 45 - 60_s,Age > 60_s
0,8001,5081.49,1003.47,0.2,22194,10025,17169,40738,39564,40158,57796,40340,4438.8,2005.0,3433.8,8147.6,7912.8,8031.6,11559.2,8068.0
1,8002,2250.89,166.62,0.07,3041,1381,2187,4915,5516,6013,8494,5848,212.87,96.67,153.09,344.05,386.12,420.91,594.58,409.36
2,8003,3145.9,137.2,0.04,3104,1352,2260,5040,5898,6449,9877,6878,124.16,54.08,90.4,201.6,235.92,257.96,395.08,275.12
3,8004,3955.4900000000002,248.84000000000003,0.06,5274,2426,3922,8179,9318,10376,14854,11461,316.44,145.56,235.32,490.74,559.08,622.56,891.24,687.66
4,8005,4510.63,106.77,0.02,2271,1098,1678,3500,3983,4642,6745,5165,45.42,21.96,33.56,70.0,79.66,92.84,134.9,103.3
5,8006,2934.4700000000003,295.78000000000003,0.1,2986,1373,2432,5547,5929,6960,8998,8094,298.6,137.3,243.2,554.7,592.9,696.0,899.8,809.4
6,8007,6842.710000000001,477.06,0.07,6853,3350,5638,12080,13377,13984,18325,12738,479.71,234.5,394.66,845.6,936.39,978.88,1282.75,891.66
7,8008,3816.25,487.94000000000005,0.13,10247,4553,7691,16285,16935,17169,22585,16618,1332.11,591.89,999.83,2117.05,2201.55,2231.97,2936.05,2160.34
8,8009,8299.710000000001,595.21,0.07,14554,6637,10936,24775,24334,24594,33480,20263,1018.78,464.59,765.52,1734.25,1703.38,1721.58,2343.6,1418.41
9,8010,1896.13,137.05,0.07,2347,1068,1594,3469,4087,4266,5538,4167,164.29,74.76,111.58,242.83,286.09,298.62,387.66,291.69
10,8011,5482.73,429.78,0.08,7241,3224,4929,10526,12297,11927,14943,9203,579.28,257.92,394.32,842.08,983.76,954.16,1195.44,736.24
11,8012,4841.2699999999995,660.3400000000001,0.14,6257,2803,4956,12138,13827,14022,18435,15705,875.98,392.42,693.84,1699.32,1935.78,1963.08,2580.9,2198.7
12,8013,2925.2299999999996,195.64,0.07,5222,2377,4042,8351,9418,10029,13364,9898,365.54,166.39,282.94,584.57,659.26,702.03,935.48,692.86
13,8014,6283.53,458.43,0.07,7168,3143,5356,12289,12757,13975,19322,13736,501.76,220.01,374.92,860.23,892.99,978.25,1352.54,961.52
14,8015,2298.16,212.28,0.09,1861,842,1426,3063,3278,3923,5955,4079,167.49,75.78,128.34,275.67,295.02,353.07,535.95,367.11
15,8016,3986.84,398.75,0.1,4812,2280,3968,8951,9271,9859,13068,11837,481.2,228.0,396.8,895.1,927.1,985.9,1306.8,1183.7
16,8017,4283.66,267.47,0.06,5019,2294,3624,7461,7893,7328,8885,4326,301.14,137.64,217.44,447.66,473.58,439.68,533.1,259.56
17,8018,1610.98,91.32,0.06,1847,849,1295,2521,3144,3074,4031,2425,110.82,50.94,77.7,151.26,188.64,184.44,241.86,145.5
18,8019,2102.26,145.29,0.07,2644,1302,1896,4296,5154,5095,6494,4550,185.08,91.14,132.72,300.72,360.78,356.65,454.58,318.5
19,8020,1359.5900000000001,269.59000000000003,0.2,3524,1508,2573,6099,6687,7209,9516,6468,704.8,301.6,514.6,1219.8,1337.4,1441.8,1903.2,1293.6
20,8021,6594.599999999999,168.11,0.03,2991,1408,2167,4578,5552,5327,7411,4027,89.73,42.24,65.01,137.34,166.56,159.81,222.33,120.81
21,8022,2489.54,98.1,0.04,2229,1103,1792,3611,4318,4737,6263,4482,89.16,44.12,71.68,144.44,172.72,189.48,250.52,179.28
22,8023,1650.05,189.76999999999998,0.12,2383,1115,1843,4434,4565,5035,6563,5192,285.96,133.8,221.16,532.08,547.8,604.2,787.56,623.04
