,addrcode,coverage,count
0,810103,9.72,1039
1,810105,3.75,76
2,810106,3.66,396
3,810111,2.42,146
4,810115,7.16,339
5,810116,18.81,223
6,810117,9.23,338
7,810118,0.28,40
8,810201,6.12,370
9,810202,6.74,1103
10,810203,5.73,660
11,810204,6.29,526
12,810205,3.03,460
13,810206,3.75,248
14,810303,8.8,395
15,810304,6.61,583
16,810305,14.79,493
17,810401,11.16,1189
18,810402,4.97,327
19,810403,7.33,782
20,810404,4.91,1111
21,810405,7.56,667
22,810406,4.79,674
23,810407,5.54,589
24,810501,9.79,1328
25,810503,10.88,502
26,810504,7.69,799
27,810505,3.0,648
28,810506,13.99,893
29,810507,10.74,555
30,810508,5.56,462
31,810509,13.21,400
32,810601,7.44,1219
33,810602,6.56,509
34,810603,7.32,579
35,810604,12.54,496
36,810701,5.87,677
37,810702,9.77,202
38,810703,3.92,522
39,810704,8.82,966
40,810801,19.66,1601
41,810803,7.72,934
42,810804,13.39,919
43,810805,11.96,886
44,810806,21.51,260
45,810807,16.27,1260
46,810808,7.92,634
